iso3,year,hiv_pct_15_to_49,hiv_pct_15_to_24_female,hiv_pct_15_to_24_male
AFG,1990,0.001,0.001,0.001
AFG,1991,0.001,0.001,0.001
AFG,1992,0.001,0.001,0.001
AFG,1993,0.001,0.001,0.001
AFG,1994,0.001,0.001,0.001
AFG,1995,0.001,0.001,0.001
AFG,1996,0.001,0.001,0.001
AFG,1997,0.001,0.001,0.001
AFG,1998,0.001,0.001,0.001
AFG,1999,0.001,0.001,0.001
AFG,2000,0.001,0.001,0.001
AFG,2001,0.001,0.001,0.001
AFG,2002,0.001,0.001,0.001
AFG,2003,0.001,0.001,0.001
AFG,2004,0.001,0.001,0.001
AFG,2005,0.001,0.001,0.001
AFG,2006,0.001,0.001,0.001
AFG,2007,0.001,0.001,0.001
AFG,2008,0.001,0.001,0.001
AFG,2009,0.001,0.001,0.001
AFG,2010,0.001,0.001,0.001
AFG,2011,0.001,0.001,0.001
AFG,2012,0.001,0.001,0.001
AFG,2013,0.001,0.001,0.001
AFG,2014,0.001,0.001,0.001
AFG,2015,0.001,0.001,0.001
AFG,2016,0.001,0.001,0.001
AFG,2017,0.001,0.001,0.001
AFG,2018,0.001,0.001,0.001
AGO,1990,0.002,0.002,0.001
AGO,1991,0.003,0.003,0.001
AGO,1992,0.003,0.004,0.001
AGO,1993,0.004,0.004,0.001
AGO,1994,0.005,0.005,0.002
AGO,1995,0.006,0.006,0.002
AGO,1996,0.006999999999999999,0.006999999999999999,0.002
AGO,1997,0.006999999999999999,0.006999999999999999,0.002
AGO,1998,0.008,0.008,0.002
AGO,1999,0.009000000000000001,0.009000000000000001,0.002
AGO,2000,0.01,0.01,0.002
AGO,2001,0.011000000000000001,0.01,0.003
AGO,2002,0.012,0.011000000000000001,0.003
AGO,2003,0.013000000000000001,0.011000000000000001,0.003
AGO,2004,0.013000000000000001,0.012,0.003
AGO,2005,0.013999999999999999,0.012,0.003
AGO,2006,0.015,0.013000000000000001,0.003
AGO,2007,0.016,0.013000000000000001,0.003
AGO,2008,0.016,0.013000000000000001,0.003
AGO,2009,0.017,0.013000000000000001,0.003
AGO,2010,0.017,0.013000000000000001,0.003
AGO,2011,0.018000000000000002,0.013000000000000001,0.003
AGO,2012,0.018000000000000002,0.013000000000000001,0.003
AGO,2013,0.019,0.013000000000000001,0.003
AGO,2014,0.019,0.013000000000000001,0.003
AGO,2015,0.019,0.013000000000000001,0.003
AGO,2016,0.019,0.013000000000000001,0.003
AGO,2017,0.02,0.012,0.003
AGO,2018,0.02,0.012,0.003
ARG,1990,0.001,0.001,0.001
ARG,1991,0.001,0.001,0.001
ARG,1992,0.002,0.001,0.001
ARG,1993,0.002,0.001,0.001
ARG,1994,0.002,0.001,0.001
ARG,1995,0.002,0.001,0.001
ARG,1996,0.002,0.001,0.001
ARG,1997,0.003,0.001,0.001
ARG,1998,0.003,0.001,0.001
ARG,1999,0.003,0.001,0.001
ARG,2000,0.003,0.001,0.001
ARG,2001,0.003,0.001,0.001
ARG,2002,0.003,0.001,0.001
ARG,2003,0.003,0.001,0.001
ARG,2004,0.003,0.001,0.001
ARG,2005,0.003,0.001,0.001
ARG,2006,0.004,0.001,0.001
ARG,2007,0.004,0.001,0.001
ARG,2008,0.004,0.001,0.001
ARG,2009,0.004,0.001,0.001
ARG,2010,0.004,0.001,0.001
ARG,2011,0.004,0.001,0.001
ARG,2012,0.004,0.001,0.001
ARG,2013,0.004,0.001,0.001
ARG,2014,0.004,0.001,0.001
ARG,2015,0.004,0.001,0.001
ARG,2016,0.004,0.001,0.001
ARG,2017,0.004,0.001,0.001
ARG,2018,0.004,0.001,0.001
ARM,1990,0.001,0.001,0.001
ARM,1991,0.001,0.001,0.001
ARM,1992,0.001,0.001,0.001
ARM,1993,0.001,0.001,0.001
ARM,1994,0.001,0.001,0.001
ARM,1995,0.001,0.001,0.001
ARM,1996,0.001,0.001,0.001
ARM,1997,0.001,0.001,0.001
ARM,1998,0.001,0.001,0.001
ARM,1999,0.001,0.001,0.001
ARM,2000,0.001,0.001,0.001
ARM,2001,0.001,0.001,0.001
ARM,2002,0.001,0.001,0.001
ARM,2003,0.001,0.001,0.001
ARM,2004,0.001,0.001,0.001
ARM,2005,0.001,0.001,0.001
ARM,2006,0.002,0.001,0.001
ARM,2007,0.002,0.001,0.001
ARM,2008,0.002,0.001,0.001
ARM,2009,0.002,0.001,0.001
ARM,2010,0.002,0.001,0.001
ARM,2011,0.002,0.001,0.001
ARM,2012,0.002,0.001,0.001
ARM,2013,0.002,0.001,0.001
ARM,2014,0.002,0.001,0.001
ARM,2015,0.002,0.001,0.001
ARM,2016,0.002,0.001,0.001
ARM,2017,0.002,0.001,0.001
ARM,2018,0.002,0.001,0.001
AUS,1990,0.001,0.001,0.001
AUS,1991,0.001,0.001,0.001
AUS,1992,0.001,0.001,0.001
AUS,1993,0.001,0.001,0.001
AUS,1994,0.001,0.001,0.001
AUS,1995,0.001,0.001,0.001
AUS,1996,0.001,0.001,0.001
AUS,1997,0.001,0.001,0.001
AUS,1998,0.001,0.001,0.001
AUS,1999,0.001,0.001,0.001
AUS,2000,0.001,0.001,0.001
AUS,2001,0.001,0.001,0.001
AUS,2002,0.001,0.001,0.001
AUS,2003,0.001,0.001,0.001
AUS,2004,0.001,0.001,0.001
AUS,2005,0.001,0.001,0.001
AUS,2006,0.001,0.001,0.001
AUS,2007,0.001,0.001,0.001
AUS,2008,0.001,0.001,0.001
AUS,2009,0.001,0.001,0.001
AUS,2010,0.001,0.001,0.001
AUS,2011,0.001,0.001,0.001
AUS,2012,0.001,0.001,0.001
AUS,2013,0.001,0.001,0.001
AUS,2014,0.001,0.001,0.001
AUS,2015,0.001,0.001,0.001
AUS,2016,0.001,0.001,0.001
AUS,2017,0.001,0.001,0.001
AUS,2018,0.001,0.001,0.001
BDI,1990,0.034,0.03,0.013999999999999999
BDI,1991,0.039,0.034,0.015
BDI,1992,0.043,0.036000000000000004,0.013999999999999999
BDI,1993,0.045,0.036000000000000004,0.013000000000000001
BDI,1994,0.045,0.034,0.011000000000000001
BDI,1995,0.045,0.032,0.01
BDI,1996,0.043,0.027999999999999997,0.008
BDI,1997,0.040999999999999995,0.025,0.006999999999999999
BDI,1998,0.039,0.021,0.006
BDI,1999,0.036000000000000004,0.018000000000000002,0.005
BDI,2000,0.033,0.016,0.004
BDI,2001,0.031,0.013999999999999999,0.004
BDI,2002,0.027999999999999997,0.012,0.004
BDI,2003,0.026000000000000002,0.011000000000000001,0.004
BDI,2004,0.023,0.01,0.004
BDI,2005,0.022000000000000002,0.009000000000000001,0.004
BDI,2006,0.02,0.009000000000000001,0.004
BDI,2007,0.019,0.008,0.004
BDI,2008,0.018000000000000002,0.008,0.005
BDI,2009,0.017,0.008,0.005
BDI,2010,0.016,0.008,0.005
BDI,2011,0.015,0.008,0.005
BDI,2012,0.013999999999999999,0.008,0.005
BDI,2013,0.013000000000000001,0.008,0.005
BDI,2014,0.013000000000000001,0.008,0.005
BDI,2015,0.012,0.006999999999999999,0.005
BDI,2016,0.012,0.006999999999999999,0.005
BDI,2017,0.011000000000000001,0.006999999999999999,0.005
BDI,2018,0.01,0.006,0.005
BEN,1990,0.002,0.001,0.001
BEN,1991,0.003,0.002,0.002
BEN,1992,0.004,0.003,0.002
BEN,1993,0.005,0.005,0.003
BEN,1994,0.006999999999999999,0.006,0.004
BEN,1995,0.009000000000000001,0.006999999999999999,0.004
BEN,1996,0.01,0.008,0.004
BEN,1997,0.011000000000000001,0.009000000000000001,0.005
BEN,1998,0.012,0.009000000000000001,0.004
BEN,1999,0.013000000000000001,0.009000000000000001,0.004
BEN,2000,0.013000000000000001,0.009000000000000001,0.004
BEN,2001,0.013000000000000001,0.008,0.004
BEN,2002,0.013000000000000001,0.008,0.003
BEN,2003,0.013000000000000001,0.006999999999999999,0.003
BEN,2004,0.013000000000000001,0.006999999999999999,0.003
BEN,2005,0.013000000000000001,0.006,0.003
BEN,2006,0.012,0.006,0.003
BEN,2007,0.012,0.006,0.002
BEN,2008,0.011000000000000001,0.005,0.002
BEN,2009,0.011000000000000001,0.005,0.002
BEN,2010,0.011000000000000001,0.005,0.002
BEN,2011,0.011000000000000001,0.005,0.002
BEN,2012,0.011000000000000001,0.005,0.002
BEN,2013,0.011000000000000001,0.005,0.002
BEN,2014,0.011000000000000001,0.005,0.002
BEN,2015,0.011000000000000001,0.004,0.002
BEN,2016,0.011000000000000001,0.004,0.002
BEN,2017,0.01,0.004,0.002
BEN,2018,0.01,0.004,0.002
BFA,1990,0.027000000000000003,0.021,0.018000000000000002
BFA,1991,0.028999999999999998,0.022000000000000002,0.018000000000000002
BFA,1992,0.028999999999999998,0.022000000000000002,0.016
BFA,1993,0.03,0.021,0.015
BFA,1994,0.028999999999999998,0.02,0.013000000000000001
BFA,1995,0.028999999999999998,0.018000000000000002,0.011000000000000001
BFA,1996,0.027000000000000003,0.016,0.009000000000000001
BFA,1997,0.026000000000000002,0.013999999999999999,0.008
BFA,1998,0.024,0.013000000000000001,0.006999999999999999
BFA,1999,0.023,0.011000000000000001,0.006
BFA,2000,0.021,0.01,0.005
BFA,2001,0.02,0.009000000000000001,0.005
BFA,2002,0.018000000000000002,0.008,0.004
BFA,2003,0.017,0.008,0.004
BFA,2004,0.016,0.006999999999999999,0.004
BFA,2005,0.015,0.006999999999999999,0.004
BFA,2006,0.013999999999999999,0.006,0.004
BFA,2007,0.013000000000000001,0.006,0.004
BFA,2008,0.013000000000000001,0.006,0.004
BFA,2009,0.012,0.006,0.004
BFA,2010,0.012,0.006,0.004
BFA,2011,0.011000000000000001,0.005,0.004
BFA,2012,0.011000000000000001,0.005,0.004
BFA,2013,0.01,0.005,0.003
BFA,2014,0.01,0.005,0.003
